,year,month,day,day_of_week,day_of_year,quarter,hour,minute,second,temp,cond,do,turb,chl-a
0,2019,3,28,3,87,1,0,43,9,30.67318,94.64645,7.890586,34.89499,329.5842
1,2019,3,13,2,72,1,3,58,5,29.377990000000004,88.46648,2.994163,28.22379,75.43412
2,2019,3,12,1,71,1,1,38,5,29.63066,87.79338,3.759133,27.81244,61.83861
3,2019,3,27,2,86,1,11,33,9,30.25711,94.0134,7.265453999999999,59.38213,328.5731
4,2019,10,3,3,276,4,10,43,9,28.85477,113.7793,5.524088,111.2761,738.3568
5,2019,3,7,3,66,1,20,8,5,30.864890000000006,103.2009,6.645972,17.841820000000006,65.38678
6,2019,2,28,3,59,1,21,17,53,30.47223,103.8596,4.660803,29.24496,50.21932
7,2019,2,25,0,56,1,23,0,0,30.42214,99.51506,7.9432399999999985,76.76725,66.68292
8,2019,3,19,1,78,1,3,43,33,31.0271,95.87989,9.112506,253.3843,259.2807
9,2019,10,7,0,280,4,10,28,57,28.89366,114.6385,4.985226,218.9045,805.747
10,2019,9,25,2,268,3,2,27,57,29.86419,112.7771,4.207935,84.61765,498.3199
11,2019,9,21,5,264,3,8,42,57,29.49291,107.7095,5.775653,113.455,779.2164
12,2019,3,15,4,74,1,15,23,32,30.34883,92.09997,8.57342,50.0286,198.6114
13,2019,3,28,3,87,1,13,3,9,30.27751,94.97231,5.860918,33.45785,342.8122
14,2019,2,28,3,59,1,18,27,53,30.55149,102.4886,7.95308,46.6326,69.38463
15,2019,2,24,6,55,1,2,40,0,30.19841,98.48527,6.407041,43.08267,50.12553
16,2019,3,4,0,63,1,3,17,53,30.527690000000003,97.28194,7.65586,64.05457,48.51868
17,2019,3,27,2,86,1,17,3,9,30.60701,94.24397,9.364345,30.37834,401.4154
18,2019,2,27,2,58,1,23,7,53,30.46741,101.8206,6.528011,48.92608,61.84007
19,2019,3,7,3,66,1,12,58,5,30.73493,102.7491,6.4189669999999985,12.78679,58.04105
20,2019,3,1,4,60,1,5,27,53,30.26032,103.3605,5.815907,52.66396,50.86885
21,2019,9,16,0,259,3,11,15,1,29.90367,105.7456,9.068579,103.6383,332.1008
22,2019,10,5,5,278,4,7,43,9,29.04981,116.0117,9.00225,181.8216,1120.29
23,2019,3,31,6,90,1,14,43,9,30.028270000000006,94.38215,4.560213,176.4849,209.269
24,2019,3,28,3,87,1,4,23,9,30.42555,93.75222,8.543847,36.71654,330.5868
25,2019,3,24,6,83,1,1,24,44,31.065340000000006,99.75266,5.767768,43.43024000000001,338.6818
26,2019,3,9,5,68,1,1,8,5,30.806590000000003,104.3963,5.799551,39.29242,63.87582
27,2019,3,1,4,60,1,1,7,53,30.55302,102.8867,8.893212,48.24992,51.5631
28,2019,10,3,3,276,4,11,58,9,28.93357,113.7715,6.4967190000000015,130.9336,657.544
29,2019,10,3,3,276,4,0,13,9,29.05823,113.9999,5.137329,163.2501,791.1782
30,2019,3,16,5,75,1,1,23,32,30.47624,93.23645,6.784827000000001,94.89004,213.6332
31,2019,3,5,1,64,1,3,17,54,30.65156,99.4099,7.018474,47.29783,52.74606
32,2019,2,24,6,55,1,4,10,0,30.49371,98.55116,7.732197999999999,35.31334000000001,58.84683
33,2019,3,18,0,77,1,8,53,33,30.5053,93.59811,8.316203,236.6802,256.1902
34,2019,10,4,4,277,4,10,13,9,28.72701,114.3434,3.933605000000001,114.186,656.6922
35,2019,3,8,4,67,1,18,38,5,31.0747,104.507,6.776636999999999,30.1005,71.13689000000002
36,2019,3,26,1,85,1,20,54,44,30.03693,94.71804,3.561663,60.316,301.3972
37,2019,3,22,4,81,1,13,44,44,30.44579,99.38464,4.575265,105.9947,267.2772
38,2019,3,2,5,61,1,1,27,53,29.90528,96.61872,4.527631,33.17217,41.55885
39,2019,9,21,5,264,3,15,42,57,29.81676,107.6731,7.642081,143.109,878.0847
40,2019,2,23,5,54,1,14,40,0,30.06967,96.47387,7.475544,36.98244,54.00689000000001
41,2019,9,23,0,266,3,23,42,57,29.74352,110.3167,5.023852,80.99778,456.0484
42,2019,3,9,5,68,1,9,18,5,30.21757,105.2432,2.9744900000000003,17.15626,61.80804000000001
43,2019,3,16,5,75,1,22,13,33,30.6101,92.98382,8.680966999999999,179.0837,286.5237
44,2019,3,25,0,84,1,8,24,44,29.77486,92.88789,2.997003,82.28291999999998,294.8688
45,2019,10,6,6,279,4,15,43,10,29.04956,114.9819,5.593811,148.01,954.7169
46,2019,2,28,3,59,1,7,47,53,30.3684,102.291,7.58353,71.20448,56.05409
47,2019,3,11,0,70,1,2,58,5,28.77433,83.84125999999998,4.112914,36.04328,51.65816
48,2019,9,25,2,268,3,15,32,0,29.61197,113.056,4.5600260000000015,97.61655,448.044
49,2019,2,21,3,52,1,21,10,0,29.8568,94.1001,9.332495,40.13789000000001,71.07806
50,2019,3,27,2,86,1,10,53,9,30.2216,93.48715,6.93031,25.00113,314.7638
51,2019,2,24,6,55,1,14,30,0,30.20724,97.72871,7.798507000000002,56.49573,61.4637
52,2019,3,10,6,69,1,10,8,5,30.04787,104.2324,2.78602,15.48114,55.51546999999999
