datetime,actual_conductivity,do_concentration,turbidity,chl-a_concentration,temperature
2019-02-20 12:00:00,92.12651,6.491213,32.86783,39.64875,29.55674
2019-02-20 12:10:00,92.22813,6.724226,24.30492,40.57396,29.59175
2019-02-20 12:20:00,91.93182,6.677357,47.46174,40.88269,29.57693
2019-02-20 12:30:00,92.45161,7.540924,55.041,46.67803,29.63118
2019-02-20 12:40:00,92.78736,7.629431,26.5817,47.05107,29.64378
2019-02-20 12:50:00,91.78815,7.56651,34.21025,45.25861,29.63245
2019-02-20 13:00:00,91.57467,7.912216,52.89904,45.45562,29.64501
2019-02-20 13:10:00,91.22897,8.623495,39.166,52.36204,29.67557
2019-02-20 13:20:00,90.77015,8.506519,36.52256,52.35229,29.65374
2019-02-20 13:30:00,90.89125,8.5311,30.8212,52.28168,29.64732
2019-02-20 13:40:00,91.24991,9.192474,77.23246,60.92471,29.70231
2019-02-20 13:50:00,91.21239,8.368598,47.14666,51.84284,29.64461
2019-02-20 14:00:00,91.47506,8.256821,82.81126,49.84156,29.63046
2019-02-20 14:10:00,91.27897,8.805523,52.71703,56.74622,29.6673
2019-02-20 14:20:00,91.3004,10.2688,47.35056,67.05161,29.75004
2019-02-20 14:30:00,91.93052,9.557779,38.07092,64.26868,29.70184
2019-02-20 14:40:00,91.74003,8.935707,40.49232,59.39921,29.67038
2019-02-20 14:50:00,92.30174,9.548761,37.23345,69.05347,29.7069
2019-02-20 15:00:00,92.19342,8.088799,31.94762,55.74298,29.63224
2019-02-20 15:10:00,93.24326,7.999671,37.6953,60.12158,29.64098
2019-02-20 15:20:00,93.65958,8.486926,32.78003,59.29182,29.65916
2019-02-20 15:30:00,94.92867,9.89364,51.81496,75.37791,29.74344
2019-02-20 15:40:00,94.99211,8.971314,59.65267,72.51312,29.70351
2019-02-20 15:50:00,94.67919,9.860367,34.80024,74.98108,29.76873
2019-02-20 16:00:00,94.49635,10.04306,55.65379,79.86151,29.76865
2019-02-20 16:10:00,93.55465,10.54057,38.54684,82.91543,29.77673
2019-02-20 16:20:00,95.43964,9.408309,45.52512,69.22716,29.7353
2019-02-20 16:30:00,94.80538,8.843196,65.1943,67.55634,29.71841
2019-02-20 16:40:00,93.95016,9.578552,68.88601,87.68596,29.79548
2019-02-20 16:50:00,95.12363,8.865793,46.37246,63.18887,29.69764
2019-02-20 17:00:00,94.2319,6.385609,52.46814,52.94539,29.58764
2019-02-20 17:10:00,94.3544,6.59742,31.65506,63.12238,29.62958
2019-02-20 17:20:00,93.97364,10.83196,76.96892,82.28624,29.8535
2019-02-20 17:40:00,94.3632,9.718478,62.28009,67.50049,29.76735
2019-02-20 17:50:00,93.65443,7.969858,55.38015,58.92856,29.67514
2019-02-20 18:00:00,94.91723,7.699747,45.1127,64.11521,29.68064
2019-02-20 18:20:00,93.81694,10.50384,105.1332,73.90073,29.84134
2019-02-20 18:30:00,92.54897,9.730732,72.77338,66.36556,29.75532
2019-02-20 18:40:00,93.22091,10.0107,90.32613,64.77817,29.79824
2019-02-20 18:50:00,92.23919,8.159566,40.00311,60.16903,29.67714
2019-02-20 19:00:00,92.0905,7.675818,59.888,59.45416,29.64642
2019-02-20 19:20:00,93.55435,11.49186,71.28068,73.20286,29.93661
2019-02-20 19:30:00,93.30629,10.49788,62.36595,70.06643,29.87113
2019-02-20 19:40:00,93.29494,9.303434,46.47708,64.23259,29.78968
2019-02-20 19:50:00,93.56911,9.01524,58.92992,65.14828,29.80825
2019-02-20 20:00:00,92.98676,8.016564,45.35442,59.53662,29.7048
2019-02-20 20:10:00,93.23941,8.320436,30.36492,60.12432,29.74411
2019-02-20 20:20:00,93.27783,9.840875,42.08685,66.65469,29.79511
2019-02-20 20:30:00,93.43941,10.52671,57.34253,65.48986,29.87441
2019-02-20 20:40:00,93.46301,10.20255,46.83604,62.96466,29.84804
2019-02-20 20:50:00,93.66647,8.233608,49.65734,54.5769,29.74689
2019-02-20 21:00:00,93.54656,7.7212,40.4726,60.347,29.73318
2019-02-20 21:10:00,94.2371,8.80795,70.61261,65.87463,29.77482
2019-02-20 21:20:00,94.05921,9.299835,65.90894,65.37712,29.8033
2019-02-20 21:30:00,93.30726,9.182298,53.19839,59.91174,29.75829
2019-02-20 21:40:00,93.70595,9.25981,57.60932,65.1273,29.79045
2019-02-20 21:50:00,94.15867,9.977427,83.17635,67.63438,29.86606
2019-02-20 22:00:00,93.8968,9.945221,45.61927,66.15607,29.8316
2019-02-20 22:10:00,93.43082,9.625872,47.53888,62.96719,29.80483
2019-02-20 22:20:00,93.45028,8.460257,72.70693,63.15832,29.75159
2019-02-20 22:30:00,93.14071,9.626563,58.48912,67.73949,29.83691
2019-02-20 22:40:00,93.35809,10.61285,41.44472,67.87456,29.93386
2019-02-20 22:50:00,93.47362,10.38903,57.60139,70.99644,29.89066
2019-02-20 23:00:00,93.33939,9.354676,51.59412,60.63143,29.77221
2019-02-20 23:10:00,93.64511,6.897032,36.43978,55.80906,29.70857
2019-02-20 23:20:00,93.52312,7.245984,63.0359,59.61543,29.72315
2019-02-20 23:30:00,93.43369,8.138941,20.71893,60.04441,29.7532
2019-02-20 23:40:00,93.33799,8.989306,45.28032,61.0192,29.82092
2019-02-20 23:50:00,93.37494,9.823215,46.2504,59.20417,29.89477
2019-02-21 00:00:00,93.55393,9.443556,36.56671,61.1974,29.80933
2019-02-21 00:10:00,93.13485,9.586599,39.58115,62.16323,29.86055
2019-02-21 00:20:00,93.66338,8.292495,46.1479,62.04876,29.80767
